any,geo,municipis,nivell de formació assolit,sexe,concepte,estat,valor,Codes,Names,valor en %
2020,439076,"Canonja, la",educació superior,total,població de 25 a 64 anys,,1070,34094343907,La Canonja,32.083958020989506
2020,080410,Canovelles,educació superior,total,població de 25 a 64 anys,,1985,34090808041,Canovelles,21.51761517615176
2020,080425,Cànoves i Samalús,educació superior,total,població de 25 a 64 anys,,705,34090808042,Cànoves i Samalús,39.385474860335194
2020,170412,Cantallops,educació superior,total,població de 25 a 64 anys,,55,34091717041,Cantallops,33.33333333333333
2020,080431,Canyelles,educació superior,total,població de 25 a 64 anys,,1100,34090808043,Canyelles,39.78300180831826
2020,430398,Capafonts,educació superior,total,població de 25 a 64 anys,,40,34094343039,Capafonts,61.53846153846154
2020,430402,Capçanes,educació superior,total,població de 25 a 64 anys,,105,34094343040,Capçanes,50.0
2020,080446,Capellades,educació superior,total,població de 25 a 64 anys,,990,34090808044,Capellades,34.196891191709845
2020,170427,Capmany,educació superior,total,població de 25 a 64 anys,,105,34091717042,Capmany,31.818181818181817
2020,080459,Capolat,educació superior,total,població de 25 a 64 anys,,25,34090808045,Capolat,55.55555555555556
2020,080462,Cardedeu,educació superior,total,població de 25 a 64 anys,,5280,34090808046,Cardedeu,51.262135922330096
2020,080478,Cardona,educació superior,total,població de 25 a 64 anys,,770,34090808047,Cardona,32.083333333333336
2020,080484,Carme,educació superior,total,població de 25 a 64 anys,,175,34090808048,Carme,40.69767441860465
2020,430419,Caseres,educació superior,total,població de 25 a 64 anys,,35,34094343041,Caseres,30.434782608695656
2020,170448,Cassà de la Selva,educació superior,total,població de 25 a 64 anys,,1800,34091717044,Cassà de la Selva,30.98106712564544
2020,080497,Casserres,educació superior,total,població de 25 a 64 anys,,345,34090808049,Casserres,40.588235294117645
2020,080575,Castell de l'Areny,educació superior,total,població de 25 a 64 anys,,20,34090808057,Castell de l'Areny,50.0
2020,259046,Castell de Mur,educació superior,total,població de 25 a 64 anys,,55,34092525904,Castell de Mur,61.111111111111114
2020,250642,Castellar de la Ribera,educació superior,total,població de 25 a 64 anys,,35,34092525064,Castellar de la Ribera,58.333333333333336
2020,080522,Castellar de n'Hug,educació superior,total,població de 25 a 64 anys,,25,34090808052,Castellar de n'Hug,27.77777777777778
2020,080500,Castellar del Riu,educació superior,total,població de 25 a 64 anys,,55,34090808050,Castellar del Riu,57.89473684210527
2020,080517,Castellar del Vallès,educació superior,total,població de 25 a 64 anys,,5765,34090808051,Castellar del Vallès,42.37412715913268
2020,080538,Castellbell i el Vilar,educació superior,total,població de 25 a 64 anys,,660,34090808053,Castellbell i el Vilar,31.058823529411768
2020,080543,Castellbisbal,educació superior,total,població de 25 a 64 anys,,2795,34090808054,Castellbisbal,39.36619718309859
2020,080556,Castellcir,educació superior,total,població de 25 a 64 anys,,195,34090808055,Castellcir,46.42857142857143
2020,250674,Castelldans,educació superior,total,població de 25 a 64 anys,,185,34092525067,Castelldans,33.94495412844037
2020,080569,Castelldefels,educació superior,total,població de 25 a 64 anys,,20640,34090808056,Castelldefels,52.41239207719654
2020,080581,Castellet i la Gornal,educació superior,total,població de 25 a 64 anys,,470,34090808058,Castellet i la Gornal,34.43223443223443
2020,170464,Castellfollit de la Roca,educació superior,total,població de 25 a 64 anys,,185,34091717046,Castellfollit de la Roca,37.755102040816325
2020,080608,Castellfollit de Riubregós,educació superior,total,població de 25 a 64 anys,,40,34090808060,Castellfollit de Riubregós,47.05882352941176
2020,080594,Castellfollit del Boix,educació superior,total,població de 25 a 64 anys,,110,34090808059,Castellfollit del Boix,45.83333333333333
2020,080615,Castellgalí,educació superior,total,població de 25 a 64 anys,,440,34090808061,Castellgalí,37.76824034334764
2020,080620,Castellnou de Bages,educació superior,total,població de 25 a 64 anys,,365,34090808062,Castellnou de Bages,47.4025974025974
2020,250680,Castellnou de Seana,educació superior,total,població de 25 a 64 anys,,115,34092525068,Castellnou de Seana,35.9375
2020,170470,Castelló d'Empúries,educació superior,total,població de 25 a 64 anys,,1645,34091717047,Castelló d'Empúries,26.383319967923015
2020,250693,Castelló de Farfanya,educació superior,total,població de 25 a 64 anys,,85,34092525069,Castelló de Farfanya,29.310344827586203
2020,080636,Castellolí,educació superior,total,població de 25 a 64 anys,,215,34090808063,Castellolí,62.31884057971014
2020,170486,Castell-Platja d'Aro,educació superior,total,població de 25 a 64 anys,,2425,34091717048,Castell-Platja d'Aro,38.8310648518815
2020,250707,Castellserà,educació superior,total,població de 25 a 64 anys,,190,34092525070,Castellserà,36.89320388349515
2020,080641,Castellterçol,educació superior,total,població de 25 a 64 anys,,625,34090808064,Castellterçol,45.62043795620438
2020,430424,Castellvell del Camp,educació superior,total,població de 25 a 64 anys,,790,34094343042,Castellvell del Camp,49.52978056426332
2020,080654,Castellví de la Marca,educació superior,total,població de 25 a 64 anys,,315,34090808065,Castellví de la Marca,37.05882352941177
2020,080667,Castellví de Rosanes,educació superior,total,població de 25 a 64 anys,,570,34090808066,Castellví de Rosanes,50.89285714285714
2020,430430,"Catllar, el",educació superior,total,població de 25 a 64 anys,,1200,34094343043,El Catllar,45.0281425891182
2020,250714,Cava,educació superior,total,població de 25 a 64 anys,,15,34092525071,Cava,60.0
2020,171899,"Cellera de Ter, la",educació superior,total,població de 25 a 64 anys,,390,34091717189,La Cellera de Ter,37.32057416267943
2020,170499,Celrà,educació superior,total,població de 25 a 64 anys,,1220,34091717049,Celrà,38.425196850393704
2020,080673,Centelles,educació superior,total,població de 25 a 64 anys,,1560,34090808067,Centelles,37.45498199279712
2020,082687,Cercs,educació superior,total,població de 25 a 64 anys,,220,34090808268,Cercs,35.77235772357724
2020,082665,Cerdanyola del Vallès,educació superior,total,població de 25 a 64 anys,,15550,34090808266,Cerdanyola del Vallès,48.47256857855361
2020,080689,Cervelló,educació superior,total,població de 25 a 64 anys,,2445,34090808068,Cervelló,47.29206963249516
2020,250729,Cervera,educació superior,total,població de 25 a 64 anys,,1440,34092525072,Cervera,28.235294117647058
2020,250735,Cervià de les Garrigues,educació superior,total,població de 25 a 64 anys,,100,34092525073,Cervià de les Garrigues,29.411764705882355
2020,170502,Cervià de Ter,educació superior,total,població de 25 a 64 anys,,275,34091717050,Cervià de Ter,51.4018691588785
2020,170519,Cistella,educació superior,total,població de 25 a 64 anys,,70,34091717051,Cistella,43.75
2020,250740,Ciutadilla,educació superior,total,població de 25 a 64 anys,,45,34092525074,Ciutadilla,45.0
2020,250753,Clariana de Cardener,educació superior,total,població de 25 a 64 anys,,50,34092525075,Clariana de Cardener,52.63157894736842
2020,250766,"Cogul, el",educació superior,total,població de 25 a 64 anys,,20,34092525076,El Cogul,28.57142857142857
2020,170545,Colera,educació superior,total,població de 25 a 64 anys,,120,34091717054,Colera,52.17391304347826
2020,250772,Coll de Nargó,educació superior,total,població de 25 a 64 anys,,120,34092525077,Coll de Nargó,42.857142857142854
2020,080692,Collbató,educació superior,total,població de 25 a 64 anys,,1400,34090808069,Collbató,54.6875
2020,430458,Colldejou,educació superior,total,població de 25 a 64 anys,,25,34094343045,Colldejou,27.77777777777778
2020,080706,Collsuspina,educació superior,total,població de 25 a 64 anys,,90,34090808070,Collsuspina,46.15384615384615
2020,170558,Colomers,educació superior,total,població de 25 a 64 anys,,45,34091717055,Colomers,50.0
2020,251636,"Coma i la Pedra, la",educació superior,total,població de 25 a 64 anys,,65,34092525163,La Coma i la Pedra,39.39393939393939
2020,251615,Conca de Dalt,educació superior,total,població de 25 a 64 anys,,105,34092525161,Conca de Dalt,51.21951219512195
2020,430461,Conesa,educació superior,total,població de 25 a 64 anys,,20,34094343046,Conesa,33.33333333333333
